frame,total_vehicles,queue_count,red_light_violations,rash_driving
1,2,7,0,0
2,4,19,0,1
3,8,3,0,2
4,9,2,1,3
5,11,4,1,3
6,15,15,2,3
7,20,20,3,3
8,23,13,4,4
9,23,13,4,5
10,26,18,5,5
11,31,12,6,6
12,31,15,7,7
13,31,20,8,7
14,34,5,9,7
15,36,17,9,7
16,39,9,9,8
17,42,12,9,8
18,45,16,9,9
19,50,12,10,10
20,54,10,11,11
21,57,9,11,12
22,59,5,11,12
23,64,14,12,13
24,69,13,13,14
25,71,14,14,14
26,73,19,14,15
27,73,13,15,15
28,74,1,16,16
29,76,15,17,17
30,81,6,17,17
31,84,15,17,17
32,84,9,17,17
33,89,3,18,18
34,90,12,19,19
35,92,0,20,20
36,94,10,20,21
37,95,1,21,21
38,97,0,22,22
39,100,10,22,23
40,102,7,23,24
41,102,3,24,24
42,102,17,24,25
43,103,13,25,26
44,106,5,25,26
45,109,5,26,27
46,109,19,27,28
47,109,20,28,29
48,113,13,28,30
49,116,16,29,31
50,118,3,29,32
51,120,15,30,33
52,125,14,30,34
53,126,6,30,35
54,127,10,31,36
55,127,19,32,37
56,129,4,32,38
57,130,6,33,39
58,131,10,34,40
59,131,16,34,41
60,135,13,34,41
61,136,0,34,42
62,137,8,34,42
63,139,0,34,42
64,139,20,34,43
65,140,9,34,43
66,140,4,34,44
67,141,15,35,44
68,141,14,36,45
69,141,4,37,46
70,144,13,37,46
71,147,20,38,47
72,149,18,38,47
73,152,17,39,47
74,156,12,39,48
75,157,13,39,48
76,160,3,39,49
77,163,8,39,49
78,164,4,39,50
79,166,15,39,51
80,166,15,40,52
81,168,3,40,53
82,170,17,41,53
83,172,12,41,53
84,175,10,42,53
85,178,11,43,53
86,181,17,44,54
87,186,0,45,54
88,191,9,46,55
89,196,12,46,55
90,201,6,46,55
91,202,2,46,55
92,204,16,47,56
93,204,5,47,57
94,209,1,48,58
95,214,9,48,58
96,214,18,48,59
97,214,15,49,59
98,215,15,49,60
99,218,14,49,60
100,219,13,49,60
101,222,12,49,60
102,224,18,49,61
103,226,3,49,62
104,227,17,49,62
105,230,10,49,62
106,234,7,50,62
107,238,4,50,63
108,241,8,50,63
109,244,20,50,63
110,245,1,51,64
111,248,2,52,64
112,248,15,53,64
113,248,2,54,64
114,248,2,54,64
115,252,17,54,65
116,252,4,54,66
117,253,13,55,66
118,255,7,56,67
119,260,9,57,67
120,260,4,57,67
121,261,20,57,68
122,261,9,58,68
123,263,17,58,68
124,268,17,59,68
125,270,13,60,69
126,272,16,60,69
127,277,18,60,69
128,278,12,60,69
129,283,5,60,70
130,283,18,60,70
131,283,18,60,71
132,286,14,60,72
133,291,3,60,73
134,293,10,61,74
135,295,1,62,75
136,296,15,62,76
