frame,camera_id,location,cars,bikes,buses,trucks,total_vehicles,queue_count,red_light_violations,rash_driving,timestamp
4,CAM-01,Primary Junction,4,3,0,0,7,4,0,0,2026-02-13T01:08:34
8,CAM-01,Primary Junction,4,4,0,0,8,4,0,0,2026-02-13T01:08:34
12,CAM-01,Primary Junction,4,4,0,0,8,4,0,0,2026-02-13T01:08:34
16,CAM-01,Primary Junction,3,3,0,0,6,3,0,0,2026-02-13T01:08:34
20,CAM-01,Primary Junction,3,4,0,0,7,3,0,0,2026-02-13T01:08:34
24,CAM-01,Primary Junction,3,4,0,0,7,3,0,0,2026-02-13T01:08:34
28,CAM-01,Primary Junction,3,4,0,0,7,3,0,0,2026-02-13T01:08:34
32,CAM-01,Primary Junction,3,4,0,0,7,3,0,0,2026-02-13T01:08:35
36,CAM-01,Primary Junction,3,4,0,0,7,3,0,0,2026-02-13T01:08:35
40,CAM-01,Primary Junction,3,4,0,0,7,3,0,0,2026-02-13T01:08:35
44,CAM-01,Primary Junction,3,3,0,0,6,3,0,0,2026-02-13T01:08:35
48,CAM-01,Primary Junction,3,4,0,0,7,3,0,0,2026-02-13T01:08:35
52,CAM-01,Primary Junction,3,4,0,0,7,3,0,0,2026-02-13T01:08:35
56,CAM-01,Primary Junction,3,4,0,0,7,3,0,0,2026-02-13T01:08:35
60,CAM-01,Primary Junction,3,3,0,0,6,3,0,0,2026-02-13T01:08:35
64,CAM-01,Primary Junction,3,3,0,0,6,3,0,0,2026-02-13T01:08:35
68,CAM-01,Primary Junction,4,2,0,0,6,4,0,0,2026-02-13T01:08:36
72,CAM-01,Primary Junction,3,2,0,0,5,3,0,0,2026-02-13T01:08:36
76,CAM-01,Primary Junction,2,1,0,0,3,2,0,0,2026-02-13T01:08:36
80,CAM-01,Primary Junction,2,3,0,0,5,2,0,0,2026-02-13T01:08:36
84,CAM-01,Primary Junction,2,3,0,1,6,3,0,0,2026-02-13T01:08:36
88,CAM-01,Primary Junction,4,3,0,1,8,5,0,0,2026-02-13T01:08:36
92,CAM-01,Primary Junction,2,2,0,1,5,3,0,0,2026-02-13T01:08:36
96,CAM-01,Primary Junction,2,2,0,0,4,2,0,0,2026-02-13T01:08:36
