frame_id,track_id,vehicle_type,bbox,center_x,center_y,timestamp
10,1,car,"446,320,61,37",476.5,338.5,2026-02-18T17:34:03
10,2,car,"350,284,51,38",375.5,303.0,2026-02-18T17:34:03
10,3,car,"57,266,62,39",88.0,285.5,2026-02-18T17:34:03
10,4,car,"456,287,49,33",480.5,303.5,2026-02-18T17:34:03
10,5,car,"334,224,30,23",349.0,235.5,2026-02-18T17:34:03
20,1,car,"447,321,61,37",477.5,339.5,2026-02-18T17:34:03
20,2,car,"351,286,51,37",376.5,304.5,2026-02-18T17:34:03
20,4,car,"452,288,53,33",478.5,304.5,2026-02-18T17:34:03
20,5,car,"239,200,37,31",257.5,215.5,2026-02-18T17:34:03
30,1,car,"448,323,60,35",478.0,340.5,2026-02-18T17:34:03
30,2,car,"351,286,49,38",375.5,305.0,2026-02-18T17:34:03
30,4,car,"524,323,54,35",551.0,340.5,2026-02-18T17:34:03
40,1,car,"448,323,60,36",478.0,341.0,2026-02-18T17:34:03
40,2,car,"352,289,50,37",377.0,307.5,2026-02-18T17:34:03
40,4,car,"528,324,49,34",552.5,341.0,2026-02-18T17:34:03
40,5,car,"218,210,37,31",236.5,225.5,2026-02-18T17:34:03
40,6,car,"455,291,51,33",480.5,307.5,2026-02-18T17:34:03
40,7,car,"335,228,30,24",350.0,240.0,2026-02-18T17:34:03
40,8,car,"401,281,51,41",426.5,301.5,2026-02-18T17:34:03
50,1,car,"449,324,60,35",479.0,341.5,2026-02-18T17:34:03
50,2,car,"352,290,51,37",377.5,308.5,2026-02-18T17:34:03
50,4,car,"523,325,55,33",550.5,341.5,2026-02-18T17:34:03
50,6,car,"458,290,49,35",482.5,307.5,2026-02-18T17:34:03
50,7,car,"337,230,28,22",351.0,241.0,2026-02-18T17:34:03
60,1,car,"449,327,60,33",479.0,343.5,2026-02-18T17:34:03
60,2,car,"351,293,52,39",377.0,312.5,2026-02-18T17:34:03
60,4,car,"521,324,60,34",551.0,341.0,2026-02-18T17:34:03
60,6,car,"460,291,46,35",483.0,308.5,2026-02-18T17:34:03
60,8,car,"418,271,48,31",442.0,286.5,2026-02-18T17:34:03
70,1,car,"448,328,61,32",478.5,344.0,2026-02-18T17:34:03
70,2,car,"352,295,52,38",378.0,314.0,2026-02-18T17:34:03
70,3,car,"40,300,56,41",68.0,320.5,2026-02-18T17:34:03
70,4,car,"524,324,59,35",553.5,341.5,2026-02-18T17:34:03
70,6,car,"461,292,46,36",484.0,310.0,2026-02-18T17:34:03
70,7,car,"338,230,29,25",352.5,242.5,2026-02-18T17:34:03
70,8,car,"419,271,47,32",442.5,287.0,2026-02-18T17:34:03
80,1,car,"448,329,62,30",479.0,344.0,2026-02-18T17:34:03
80,2,car,"353,296,50,38",378.0,315.0,2026-02-18T17:34:03
80,3,car,"11,314,54,43",38.0,335.5,2026-02-18T17:34:03
80,4,car,"524,327,56,32",552.0,343.0,2026-02-18T17:34:03
80,5,car,"135,296,48,40",159.0,316.0,2026-02-18T17:34:03
80,6,car,"498,263,44,32",520.0,279.0,2026-02-18T17:34:03
80,9,car,"103,276,42,29",124.0,290.5,2026-02-18T17:34:03
90,1,car,"448,331,62,28",479.0,345.0,2026-02-18T17:34:03
90,2,car,"353,298,49,36",377.5,316.0,2026-02-18T17:34:03
90,3,car,"0,325,39,34",19.5,342.0,2026-02-18T17:34:03
90,4,car,"522,330,58,29",551.0,344.5,2026-02-18T17:34:03
90,6,car,"505,267,45,32",527.5,283.0,2026-02-18T17:34:03
90,8,car,"407,299,42,32",428.0,315.0,2026-02-18T17:34:03
90,9,car,"83,284,43,32",104.5,300.0,2026-02-18T17:34:03
100,1,car,"448,333,61,27",478.5,346.5,2026-02-18T17:34:04
100,2,car,"352,298,50,37",377.0,316.5,2026-02-18T17:34:04
100,4,car,"581,314,53,44",607.5,336.0,2026-02-18T17:34:04
100,5,car,"136,299,48,40",160.0,319.0,2026-02-18T17:34:04
100,6,car,"512,275,45,28",534.5,289.0,2026-02-18T17:34:04
100,8,car,"405,301,45,30",427.5,316.0,2026-02-18T17:34:04
110,1,car,"449,334,53,26",475.5,347.0,2026-02-18T17:34:04
110,2,car,"353,300,49,38",377.5,319.0,2026-02-18T17:34:04
110,4,car,"605,324,34,34",622.0,341.0,2026-02-18T17:34:04
110,6,car,"524,281,56,36",552.0,299.0,2026-02-18T17:34:04
110,7,car,"417,277,44,30",439.0,292.0,2026-02-18T17:34:04
110,8,car,"407,301,44,32",429.0,317.0,2026-02-18T17:34:04
120,1,car,"448,335,52,25",474.0,347.5,2026-02-18T17:34:04
120,2,car,"354,302,49,37",378.5,320.5,2026-02-18T17:34:04
120,5,car,"132,298,54,43",159.0,319.5,2026-02-18T17:34:04
120,6,car,"540,291,55,33",567.5,307.5,2026-02-18T17:34:04
120,7,car,"460,302,49,36",484.5,320.0,2026-02-18T17:34:04
130,1,car,"449,339,45,21",471.5,349.5,2026-02-18T17:34:04
130,2,car,"354,305,49,36",378.5,323.0,2026-02-18T17:34:04
130,3,car,"0,327,36,32",18.0,343.0,2026-02-18T17:34:04
130,5,car,"135,301,51,41",160.5,321.5,2026-02-18T17:34:04
130,6,car,"555,299,59,35",584.5,316.5,2026-02-18T17:34:04
130,10,car,"289,197,39,35",308.5,214.5,2026-02-18T17:34:04
140,1,bus,"477,235,54,59",504.0,264.5,2026-02-18T17:34:04
140,4,car,"522,332,59,27",551.5,345.5,2026-02-18T17:34:04
140,6,car,"577,307,60,37",607.0,325.5,2026-02-18T17:34:04
140,7,car,"462,305,49,35",486.5,322.5,2026-02-18T17:34:04
140,9,car,"49,290,55,36",76.5,308.0,2026-02-18T17:34:04
150,1,bus,"488,242,53,60",514.5,272.0,2026-02-18T17:34:04
150,5,car,"135,303,49,42",159.5,324.0,2026-02-18T17:34:04
150,6,car,"597,315,42,32",618.0,331.0,2026-02-18T17:34:04
